IP:PORT, LOSS, DELAY
188.114.96.80:854,0.00%,199 ms
188.114.96.127:1018,0.00%,200 ms
188.114.96.174:854,0.00%,200 ms
188.114.96.15:1018,0.00%,200 ms
188.114.96.15:854,0.00%,201 ms
188.114.97.70:1018,0.00%,201 ms
188.114.97.251:854,0.00%,201 ms
188.114.97.51:854,0.00%,201 ms
188.114.97.25:854,0.00%,201 ms
188.114.96.92:854,0.00%,205 ms
188.114.96.204:1018,0.00%,205 ms
188.114.96.80:1018,0.00%,205 ms
188.114.97.200:1018,0.00%,205 ms
188.114.97.107:854,0.00%,206 ms
188.114.97.107:1018,0.00%,206 ms
188.114.96.174:1018,0.00%,206 ms
188.114.96.118:854,0.00%,206 ms
188.114.97.25:1018,0.00%,207 ms
188.114.96.66:854,0.00%,207 ms
188.114.96.17:854,0.00%,207 ms
188.114.97.123:854,0.00%,207 ms
188.114.96.66:1018,0.00%,207 ms
188.114.96.204:854,0.00%,207 ms
188.114.97.49:854,0.00%,207 ms
188.114.97.51:1018,0.00%,207 ms
188.114.96.141:854,0.00%,207 ms
188.114.97.46:1018,0.00%,208 ms
188.114.96.92:1018,0.00%,208 ms
188.114.97.70:854,0.00%,208 ms
188.114.96.141:1018,0.00%,208 ms
188.114.97.200:854,0.00%,208 ms
188.114.97.33:854,0.00%,208 ms
188.114.97.207:854,0.00%,208 ms
188.114.97.187:1018,0.00%,208 ms
188.114.96.136:1018,0.00%,208 ms
188.114.96.136:854,0.00%,208 ms
188.114.97.85:1018,0.00%,208 ms
188.114.97.207:1018,0.00%,208 ms
188.114.97.46:854,0.00%,208 ms
188.114.97.123:1018,0.00%,208 ms
188.114.96.118:1018,0.00%,208 ms
188.114.97.251:1018,0.00%,208 ms
188.114.97.49:1018,0.00%,208 ms
188.114.96.17:1018,0.00%,208 ms
188.114.96.127:854,0.00%,208 ms
188.114.97.187:854,0.00%,208 ms
188.114.96.45:1018,0.00%,209 ms
188.114.97.33:1018,0.00%,209 ms
188.114.96.45:854,0.00%,209 ms
188.114.97.188:1018,0.00%,209 ms
188.114.97.85:854,0.00%,210 ms
188.114.97.188:854,0.00%,210 ms
162.159.195.4:1018,10.00%,278 ms
188.114.99.25:854,10.00%,279 ms
188.114.99.35:1018,10.00%,279 ms
162.159.192.226:1018,10.00%,314 ms
162.159.192.135:1018,20.00%,357 ms
162.159.195.165:1018,20.00%,357 ms
162.159.195.61:1018,20.00%,357 ms
188.114.98.213:854,20.00%,360 ms
188.114.98.73:1018,20.00%,360 ms
188.114.98.86:1018,20.00%,360 ms
188.114.98.168:854,20.00%,360 ms
162.159.192.137:854,30.00%,437 ms
188.114.98.138:854,30.00%,437 ms
162.159.192.156:854,30.00%,437 ms
162.159.195.50:854,30.00%,438 ms
162.159.195.61:854,30.00%,438 ms
162.159.192.241:854,30.00%,438 ms
162.159.192.30:1018,30.00%,438 ms
188.114.98.207:854,30.00%,439 ms
162.159.192.211:1018,30.00%,439 ms
162.159.192.202:1018,30.00%,439 ms
162.159.195.13:854,30.00%,439 ms
162.159.195.246:1018,30.00%,439 ms
162.159.195.217:1018,30.00%,439 ms
188.114.99.126:854,30.00%,440 ms
188.114.99.205:1018,30.00%,440 ms
188.114.98.172:854,30.00%,440 ms
188.114.99.36:1018,30.00%,440 ms
188.114.99.25:1018,30.00%,441 ms
162.159.192.20:854,30.00%,446 ms
188.114.99.98:1018,30.00%,446 ms
162.159.192.198:1018,30.00%,448 ms
188.114.99.139:854,30.00%,450 ms
162.159.192.194:1018,30.00%,451 ms
162.159.195.110:1018,30.00%,454 ms
162.159.195.226:1018,30.00%,457 ms
188.114.98.72:854,30.00%,458 ms
188.114.98.8:854,30.00%,462 ms
188.114.99.126:1018,30.00%,463 ms
188.114.99.63:1018,30.00%,466 ms
162.159.195.178:854,30.00%,473 ms
162.159.192.194:854,40.00%,518 ms
188.114.98.213:1018,40.00%,518 ms
188.114.98.172:1018,40.00%,518 ms
162.159.192.44:1018,40.00%,518 ms
162.159.195.246:854,40.00%,518 ms
162.159.195.155:854,40.00%,518 ms
162.159.192.202:854,40.00%,518 ms
188.114.98.56:854,40.00%,518 ms
162.159.195.128:1018,40.00%,518 ms
162.159.195.178:1018,40.00%,519 ms
162.159.195.110:854,40.00%,519 ms
162.159.195.128:854,40.00%,519 ms
188.114.99.3:854,40.00%,520 ms
188.114.99.63:854,40.00%,520 ms
188.114.98.56:1018,40.00%,520 ms
188.114.98.153:854,40.00%,521 ms
